612205011,Rohit11,Amol11,Padile11,2022,email1@coeptech.ac.in,9623344254,address11
612205012,Rohit12,Amol12,Padile12,2022,email1@coeptech.ac.in,9623344255,address12
612205013,Rohit13,Amol13,Padile13,2022,email1@coeptech.ac.in,9623344256,address13
612205014,Rohit14,Amol14,Padile14,2022,email1@coeptech.ac.in,9623344257,address14
612205015,Rohit15,Amol15,Padile15,2022,email1@coeptech.ac.in,9623344258,address15
612205016,Rohit16,Amol16,Padile16,2022,email1@coeptech.ac.in,9623344259,address16
612205017,Rohit17,Amol17,Padile17,2022,email1@coeptech.ac.in,9623344260,address17
612205018,Rohit18,Amol18,Padile18,2022,email1@coeptech.ac.in,9623344261,address18
612205019,Rohit19,Amol19,Padile19,2022,email1@coeptech.ac.in,9623344262,address19
612205030,Rohit30,Amol30,Padile30,2022,email1@coeptech.ac.in,9623344273,address30
612205010,Rohit10,Amol10,Padile10,2022,email1@coeptech.ac.in,9623344253,address10
612205022,Rohit22,Amol22,Padile22,2022,email1@coeptech.ac.in,9623344265,address22
612205001,A,B,C,2022,xyz.elec@coeptech.ac.in,1212121212,fdsfdsfsfsdfdfsf
612205023,Rohit23,Amol23,Padile23,2022,email1@coeptech.ac.in,9623344266,address23
612205024,Rohit24,Amol24,Padile24,2022,email1@coeptech.ac.in,9623344267,address24
612205002,AA,BB,CC,2022,xyz.elec@coeptech.ac.in,1234567898,sdfiugsfuisdghfuisdf
612205025,Rohit25,Amol25,Padile25,2022,email1@coeptech.ac.in,9623344268,address25
612205026,Rohit26,Amol26,Padile26,2022,email1@coeptech.ac.in,9623344269,address26
612205027,Rohit27,Amol27,Padile27,2022,email1@coeptech.ac.in,9623344270,address27
612205006,Rohit6,Amol6,Padile6,2022,email1@coeptech.ac.in,9623344249,address6
612205028,Rohit28,Amol28,Padile28,2022,email1@coeptech.ac.in,9623344271,address28
612205007,Rohit7,Amol7,Padile7,2022,email1@coeptech.ac.in,9623344250,address7
612205029,Rohit29,Amol29,Padile29,2022,email1@coeptech.ac.in,9623344272,address29
612205008,Rohit8,Amol8,Padile8,2022,email1@coeptech.ac.in,9623344251,address8
612205009,Rohit9,Amol9,Padile9,2022,email1@coeptech.ac.in,9623344252,address9
612211066,A,B,C,2022,xyz.elec@coeptech.ac.in,1212121212,afjabfuosbefuosbdfsoiubfuis
612205020,Rohit20,Amol20,Padile20,2022,email1@coeptech.ac.in,9623344263,address20
612205021,Rohit21,Amol21,Padile21,2022,email1@coeptech.ac.in,9623344264,address21
